Semana,Num_Aviones,Motores_en_mantenimiento,Motores_arrendados,Motores_comprados,Motores_en_stock,Motores_sobreciclo,Costo_acumulado
1,30,0,0,0,0,0,0.0
2,30,4,4,0,0,0,280000.0
3,30,4,4,0,0,0,560000.0
4,30,9,9,0,0,0,1190000.0
5,30,9,9,0,0,0,1820000.0
6,30,14,14,0,0,0,2800000.0
7,30,14,14,0,0,0,3780000.0
8,30,19,19,0,0,0,5110000.0
9,30,19,19,0,0,0,6440000.0
10,30,24,24,0,0,0,8120000.0
11,30,24,24,0,0,0,9800000.0
12,30,29,29,0,0,0,11830000.0
13,30,29,29,0,0,0,13860000.0
14,30,29,29,0,0,0,15890000.0
15,30,29,29,0,0,0,17920000.0
16,30,29,29,0,0,0,19950000.0
17,30,29,29,0,0,0,21980000.0
18,30,29,29,0,0,0,24010000.0
19,30,29,29,0,0,0,26040000.0
20,30,25,29,0,4,0,28070000.0
21,30,25,29,0,4,0,30100000.0
22,30,20,29,0,9,0,32130000.0
23,30,20,29,0,9,0,34160000.0
24,30,15,29,0,14,0,36190000.0
25,30,15,29,0,14,0,38220000.0
26,30,10,29,0,19,0,40250000.0
27,30,10,29,0,19,0,42280000.0
28,30,5,29,0,24,0,44310000.0
29,30,5,29,0,24,0,46340000.0
30,30,0,29,0,29,0,48370000.0
31,30,0,29,0,29,0,50400000.0
32,30,0,29,0,29,0,52430000.0
33,30,0,29,0,29,0,54460000.0
34,30,0,29,0,29,0,56490000.0
35,30,0,29,0,29,0,58520000.0
36,30,0,29,0,29,0,60550000.0
37,30,0,29,0,29,0,62580000.0
38,30,0,29,0,29,0,64610000.0
39,30,0,29,0,29,0,66640000.0
40,30,0,29,0,29,0,68670000.0
41,30,0,29,0,29,0,70700000.0
42,30,0,29,0,29,0,72730000.0
43,30,0,29,0,29,0,74760000.0
44,30,0,29,0,29,0,76790000.0
45,30,0,29,0,29,0,78820000.0
46,30,0,29,0,29,0,80850000.0
47,30,0,29,0,29,0,82880000.0
48,30,0,29,0,29,0,84910000.0
49,30,0,29,0,29,0,86940000.0
50,30,0,29,0,29,0,88970000.0
51,30,0,29,0,29,0,91000000.0
52,30,1,30,0,29,0,93100000.0
53,30,1,30,0,29,0,95200000.0
54,30,1,30,0,29,0,97300000.0
55,30,1,30,0,29,0,99400000.0
56,30,1,30,0,29,0,101500000.0
57,30,1,30,0,29,0,103600000.0
58,30,1,30,0,29,0,105700000.0
59,30,1,30,0,29,0,107800000.0
60,30,1,30,0,29,0,109900000.0
61,30,1,30,0,29,0,112000000.0
62,30,1,30,0,29,0,114100000.0
63,30,1,30,0,29,0,116200000.0
64,30,1,30,0,29,0,118300000.0
65,30,1,30,0,29,0,120400000.0
66,30,1,30,0,29,0,122500000.0
67,30,1,30,0,29,0,124600000.0
68,30,1,30,0,29,0,126700000.0
69,30,1,30,0,29,0,128800000.0
70,30,0,30,0,30,0,130900000.0
71,30,0,30,0,30,0,133000000.0
72,30,0,30,0,30,0,135100000.0
73,30,0,30,0,30,0,137200000.0
74,30,0,30,0,30,0,139300000.0
75,30,0,30,0,30,0,141400000.0
76,30,0,30,0,30,0,143500000.0
77,30,0,30,0,30,0,145600000.0
78,30,0,30,0,30,0,147700000.0
79,30,0,30,0,30,0,149800000.0
80,30,0,30,0,30,0,151900000.0
81,30,0,30,0,30,0,154000000.0
82,30,0,30,0,30,0,156100000.0
83,30,0,30,0,30,0,158200000.0
84,30,0,30,0,30,0,160300000.0
85,30,0,30,0,30,0,162400000.0
86,30,0,30,0,30,0,164500000.0
87,30,0,30,0,30,0,166600000.0
88,30,0,30,0,30,0,168700000.0
89,30,0,30,0,30,0,170800000.0
90,30,0,30,0,30,0,172900000.0
91,30,0,30,0,30,0,175000000.0
92,30,0,30,0,30,0,177100000.0
93,30,0,30,0,30,0,179200000.0
94,30,0,30,0,30,0,181300000.0
95,30,0,30,0,30,0,183400000.0
96,30,0,30,0,30,0,185500000.0
97,30,0,30,0,30,0,187600000.0
98,30,0,30,0,30,0,189700000.0
99,30,0,30,0,30,0,191800000.0
100,30,0,30,0,30,0,193900000.0
101,30,0,30,0,30,0,196000000.0
102,30,0,30,0,30,0,198100000.0
103,30,0,30,0,30,0,200200000.0
104,30,0,30,0,30,0,202300000.0
105,30,0,30,0,30,0,204400000.0
106,30,0,30,0,30,0,206500000.0
107,30,0,30,0,30,0,208600000.0
108,30,0,30,0,30,0,210700000.0
109,30,0,30,0,30,0,212800000.0
110,30,0,30,0,30,0,214900000.0
111,30,0,30,0,30,0,217000000.0
112,30,0,30,0,30,0,219100000.0
113,30,0,30,0,30,0,221200000.0
114,30,0,30,0,30,0,223300000.0
115,30,0,30,0,30,0,225400000.0
116,30,0,30,0,30,0,227500000.0
117,30,0,30,0,30,0,229600000.0
118,30,0,30,0,30,0,231700000.0
119,30,0,30,0,30,0,233800000.0
120,30,0,30,0,30,0,235900000.0
121,30,0,30,0,30,0,238000000.0
122,30,0,30,0,30,0,240100000.0
123,30,0,30,0,30,0,242200000.0
124,30,0,30,0,30,0,244300000.0
125,30,0,30,0,30,0,246400000.0
126,30,0,30,0,30,0,248500000.0
127,30,0,30,0,30,0,250600000.0
128,30,0,30,0,30,0,252700000.0
129,30,0,30,0,30,0,254800000.0
130,30,0,30,0,30,0,256900000.0
131,30,0,30,0,30,0,259000000.0
132,30,0,30,0,30,0,261100000.0
133,30,0,30,0,30,0,263200000.0
134,30,0,30,0,30,0,265300000.0
135,30,0,30,0,30,0,267400000.0
136,30,0,30,0,30,0,269500000.0
137,30,0,30,0,30,0,271600000.0
138,30,0,30,0,30,0,273700000.0
139,30,0,30,0,30,0,275800000.0
140,30,0,30,0,30,0,277900000.0
141,30,0,30,0,30,0,280000000.0
142,30,0,30,0,30,0,282100000.0
143,30,0,30,0,30,0,284200000.0
144,30,0,30,0,30,0,286300000.0
145,30,0,30,0,30,0,288400000.0
146,30,0,30,0,30,0,290500000.0
147,30,0,30,0,30,0,292600000.0
148,30,0,30,0,30,0,294700000.0
149,30,0,30,0,30,0,296800000.0
150,30,0,30,0,30,0,298900000.0
151,30,0,30,0,30,0,301000000.0
152,30,0,30,0,30,0,303100000.0
153,30,0,30,0,30,0,305200000.0
154,30,0,30,0,30,0,307300000.0
155,30,0,30,0,30,0,309400000.0
156,30,0,30,0,30,0,311500000.0
157,30,0,30,0,30,0,313600000.0
158,30,0,30,0,30,0,315700000.0
159,30,0,30,0,30,0,317800000.0
160,30,0,30,0,30,0,319900000.0
161,30,0,30,0,30,0,322000000.0
162,30,0,30,0,30,0,324100000.0
163,30,0,30,0,30,0,326200000.0
164,30,0,30,0,30,0,328300000.0
165,30,0,30,0,30,0,330400000.0
166,30,0,30,0,30,0,332500000.0
167,30,0,30,0,30,0,334600000.0
168,30,0,30,0,30,0,336700000.0
169,30,0,30,0,30,0,338800000.0
170,30,0,30,0,30,0,340900000.0
171,30,0,30,0,30,0,343000000.0
172,30,0,30,0,30,0,345100000.0
173,30,0,30,0,30,0,347200000.0
174,30,0,30,0,30,0,349300000.0
175,30,0,30,0,30,0,351400000.0
176,30,0,30,0,30,0,353500000.0
177,30,0,30,0,30,0,355600000.0
178,30,0,30,0,30,0,357700000.0
179,30,0,30,0,30,0,359800000.0
180,30,0,30,0,30,0,361900000.0
181,30,0,30,0,30,0,364000000.0
182,30,0,30,0,30,0,366100000.0
183,30,0,30,0,30,0,368200000.0
184,30,0,30,0,30,0,370300000.0
185,30,0,30,0,30,0,372400000.0
186,30,0,30,0,30,0,374500000.0
187,30,0,30,0,30,0,376600000.0
188,30,0,30,0,30,0,378700000.0
189,30,0,30,0,30,0,380800000.0
190,30,0,30,0,30,0,382900000.0
191,30,0,30,0,30,0,385000000.0
192,30,0,30,0,30,0,387100000.0
